ward,year,category,cost
29,2020,Lighting,84200
29,2020,Alleys,208890
29,2020,Misc. CDOT,270000
29,2020,Street Resurfacing,723300
29,2021,Lighting,3660
29,2021,Viaducts,4150
29,2021,Misc.,14190
29,2021,Ped. Infra.,14530
29,2021,Beautification,15000
29,2021,Misc. CDOT,24300
29,2021,Police Cameras,35750
29,2021,Street Redesign,89160
29,2021,Parks,101520
29,2021,Street Resurfacing,375370
29,2021,Alleys,386250
29,2021,Sidewalk Repair,436120
29,2022,Misc. CDOT,900
29,2022,Viaducts,4100
29,2022,Lighting,6840
29,2022,Parks,16700
29,2022,Beautification,25000
29,2022,Street Redesign,32510
29,2022,Misc.,79350
29,2022,Sidewalk Repair,163340
29,2022,Alleys,562560
29,2022,Street Resurfacing,608700
30,2019,Lighting,500
30,2019,Misc. CDOT,500
30,2019,Misc.,1800
30,2019,Street Redesign,21150
30,2019,Sidewalk Repair,259400
30,2019,Street Resurfacing,464610
30,2019,Alleys,572050
30,2020,Lighting,500
30,2020,Street Redesign,7050
30,2020,Police Cameras,24780
30,2020,Sidewalk Repair,281410
30,2020,Alleys,454420
30,2020,Street Resurfacing,551840
30,2021,Misc.,6710
30,2021,Street Redesign,7050
30,2021,Sidewalk Repair,106610
30,2021,Lighting,259950
30,2021,Alleys,359770
30,2021,Street Resurfacing,759900
30,2022,Street Redesign,23500
30,2022,Lighting,227860
30,2022,Sidewalk Repair,235000
30,2022,Street Resurfacing,406330
30,2022,Alleys,607310
31,2019,Misc. CDOT,500
31,2019,Lighting,2100
31,2019,Street Redesign,18800
31,2019,Ped. Infra.,80270
31,2019,Alleys,101640
31,2019,Sidewalk Repair,446140
31,2019,Street Resurfacing,670560
31,2020,Lighting,3800
31,2020,Street Redesign,25850
31,2020,Misc.,54820
31,2020,Ped. Infra.,59300
31,2020,Sidewalk Repair,100430
31,2020,Police Cameras,123880
31,2020,Alleys,441130
31,2020,Street Resurfacing,510790
31,2021,Sidewalk Repair,9750
31,2021,Police Cameras,110080
31,2021,Street Resurfacing,364410
31,2021,Lighting,409900
31,2021,Alleys,605860
31,2022,Misc. CDOT,660
31,2022,Lighting,16400
31,2022,Misc.,18580
31,2022,Street Redesign,18800
31,2022,Ped. Infra.,80710
31,2022,Sidewalk Repair,226490
31,2022,Alleys,284890
31,2022,Street Resurfacing,853470
32,2019,Ped. Infra.,1200
32,2019,Misc. CDOT,4540
32,2019,Street Redesign,9400
32,2019,Sidewalk Repair,101140
32,2019,Alleys,133230
32,2019,Parks,175000
32,2019,Misc.,325000
32,2019,Street Resurfacing,570480
32,2020,Ped. Infra.,7970
32,2020,Street Redesign,21950
32,2020,Police Cameras,24780
32,2020,Sidewalk Repair,96640
32,2020,Alleys,314390
32,2020,Street Resurfacing,854280
32,2021,Misc. CDOT,150
32,2021,Street Redesign,11750
32,2021,Misc.,15200
32,2021,Sidewalk Repair,20870
32,2021,Police Cameras,87930
32,2021,Ped. Infra.,98730
32,2021,Alleys,623060
32,2021,Street Resurfacing,642300
32,2022,Sidewalk Repair,3760
32,2022,Street Redesign,22740
32,2022,Lighting,50000
32,2022,Parks,150000
32,2022,Ped. Infra.,169500
32,2022,Street Resurfacing,368850
32,2022,Alleys,689300
33,2019,Ped. Infra.,11220
33,2019,Street Redesign,21370
33,2019,Parks,25000
33,2019,Misc.,54170
33,2019,Sidewalk Repair,166350
33,2019,Street Resurfacing,217110
33,2019,Alleys,824780
33,2020,Street Redesign,23280
33,2020,Beautification,25000
33,2020,Misc. CDOT,35000
33,2020,Police Cameras,42650
33,2020,Parks,75000
33,2020,Alleys,132750
33,2020,Sidewalk Repair,207610
33,2020,Ped. Infra.,263220
33,2020,Street Resurfacing,515490
33,2021,Beautification,5000
33,2021,Ped. Infra.,11380
33,2021,Misc.,50000
33,2021,Lighting,69000
33,2021,Parks,70000
33,2021,Sidewalk Repair,91520
33,2021,Street Redesign,112800
33,2021,Bike Infra.,191000
33,2021,Street Resurfacing,284480
33,2021,Alleys,614820
33,2022,Lighting,500
33,2022,Ped. Infra.,950
33,2022,Street Redesign,18800
33,2022,Misc. CDOT,41260
33,2022,Sidewalk Repair,105020
33,2022,Misc.,111400
33,2022,Parks,305000
33,2022,Street Resurfacing,336270
33,2022,Alleys,537480
34,2019,Misc. CDOT,1500
34,2019,Lighting,8000
34,2019,Street Redesign,9400
34,2019,Alleys,114640
34,2019,Sidewalk Repair,137500
34,2019,Street Resurfacing,1048960
34,2020,Street Redesign,4700
34,2020,Alleys,57470
34,2020,Sidewalk Repair,100210
34,2020,Street Resurfacing,1157620
34,2021,Misc. CDOT,660
34,2021,Lighting,15400
34,2021,Street Redesign,68150
34,2021,Alleys,98550
34,2021,Sidewalk Repair,134010
34,2021,Street Resurfacing,1183230
34,2022,Misc. CDOT,1320
34,2022,Street Redesign,42300
