ward,year,item,category,location,cost
40,2022,Street Resurfacing Menu,Street Resurfacing,ON N RAVENSWOOD AVE FROM W FOSTER AVE TO W RASCHER AVE,158210
40,2022,Concrete Alley Menu,Alleys,W FARRAGUT AVE & N DAMEN AVE&N HOYNE AVE & W FOSTER AVE,116470
40,2022,Concrete Alley Menu,Alleys,N PAULINA ST & W PETERSON AVE&W GLENLAKE AVE & N CLARK ST; 6001 N PAULINA ST,112160
40,2022,Concrete Alley Menu,Alleys,N LEAVITT ST & W LAWRENCE AVE&W AINSLIE ST & N BELL AVE,105740
40,2022,Sidewalk Menu,Sidewalk Repair,5700-5752 N FAIRFIELD AVE,88890
40,2022,Emmerson Park - Exercise Equipment,Parks,1820 W GRANVILLE AVE,70000
40,2022,Pedestrian Refuge Island Menu,Ped. Infra.,N CALIFORNIA AVE & W WINONA ST,70000
40,2022,Miscellaneous CDOT Projects,Misc. CDOT,N ASHLAND AVE & W BERWYN AVE,69560
40,2022,Sidewalk Menu,Sidewalk Repair,ON N WINCHESTER AVE FROM W PETERSON AVE TO W NORWOOD ST,61010
40,2022,Street Resurfacing Menu,Street Resurfacing,ON N LEAVITT ST FROM W BERWYN AVE TO N BOWMANVILLE AVE,59450
40,2022,Street Resurfacing Menu,Street Resurfacing,ON N WASHTENAW AVE FROM W THORNDALE AVE TO W PETERSON AVE,51100
40,2022,Sidewalk Menu,Sidewalk Repair,2515-2533 W FARRAGUT AVE,46670
40,2022,Sidewalk Menu,Sidewalk Repair,5110 N DAMEN AVE; N DAMEN AVE & W WINONA ST,42920
40,2022,Curb & Gutter Menu,Street Resurfacing,2202 W FARRAGUT AVE,34620
40,2022,Viaduct Improvement Menu,Viaducts,W DEVON AVE & N RAVENSWOOD AVE; W PETERSON AVE & N RAVENSWOOD AVE; W BRYN MAWR AVE & N RAVENSWOOD AVE; W THOME AVE & N RAVENSWOOD AVE E; W GRANVILLE AVE & N RAVENSWOOD AVE; W THOME AVE & N RAVENSWOOD AVE W,27580
40,2022,1 - LPR/No Camera - SE Lawrence and Western,Misc.,W LAWRENCE AVE & N WESTERN AVE,27410
40,2022,1 LPR/No Camera - SW Damen and Peterson,Misc.,W PETERSON AVE & N DAMEN AVE,27410
40,2022,Street Bump Outs Menu,Ped. Infra.,N VIRGINIA AVE & W GIDDINGS ST; W GIDDINGS ST & N VIRGINIA AVE,23440
40,2022,ADA - Street Resurfacing Menu,Street Resurfacing,ON N RAVENSWOOD AVE FROM W FOSTER AVE TO W RASCHER AVE,14490
40,2022,Alley Resurfacing Menu,Alleys,W NORWOOD ST & N HOYNE AVE&N SEELEY AVE & W HOOD AVE; 6100-6104 N SEELEY AVE,13150
40,2022,Street Resurfacing Menu,Street Resurfacing,ON N WOLCOTT AVE FROM W ARGYLE ST TO W WINNEMAC AVE,12720
40,2022,1 LPR/Existing Camera - NE Foster and Damen,Misc.,W FOSTER AVE & N DAMEN AVE,10970
40,2022,1 - LPR/Existing Camera - NE Devon and Ridge,Misc.,W DEVON AVE & N RIDGE BLVD,10970
40,2022,1 - LPR/Existing Camera - NW Peterson and Clark,Misc.,W PETERSON AVE & N CLARK ST,10970
40,2022,Viaduct Improvement Menu,Viaducts,N RAVENSWOOD AVE & N RIDGE AVE,8550
40,2022,Street Bump Outs Menu,Ped. Infra.,W AINSLIE ST & N LEAVITT ST,8160
40,2022,Sidewalk Menu,Sidewalk Repair,2638 W WINNEMAC AVE,6820
40,2022,Sidewalk Menu,Sidewalk Repair,4828 N WASHTENAW AVE; 4820 N WASHTENAW AVE; ON N WASHTENAW AVE FROM W LAWRENCE AVE TO W GUNNISON ST,3650
40,2022,Curb & Gutter Menu,Street Resurfacing,W BALMORAL AVE & N BOWMANVILLE AVE; ON W BALMORAL AVE FROM N HOYNE AVE TO N BOWMANVILLE AVE,3040
40,2022,Sidewalk Menu,Sidewalk Repair,6100 N PAULINA ST,2010
40,2022,Curb & Gutter Menu,Street Resurfacing,1959 W BALMORAL AVE,1210
40,2022,Miscellaneous CDOT Projects,Misc. CDOT,6400 N CLARK ST,660
41,2019,Street Resurfacing Menu,Street Resurfacing,ON W BRYN MAWR AVE FROM W HIGGINS AVE TO N CANFIELD AVE,266260
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N HIAWATHA AVE FROM N WILDWOOD AVE TO N MENDOTA AVE,82540
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N NORTHCOTT AVE FROM W HURLBUT ST TO W SOMERSET AVE,74460
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N OVERHILL AVE FROM W TALCOTT AVE TO W CLARENCE AVE,70500
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N ORIOLE AVE FROM W HIGGINS AVE TO W CATALPA AVE,69700
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N ORIOLE AVE FROM W MYRTLE AVE TO W PALATINE AVE,67320
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N OGALLAH AVE FROM N NORTHWEST HWY TO N OKETO AVE,59180
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N NAVARRE AVE FROM N NAPOLEON AVE TO N NASHOTAH AVE,55000
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N OLCOTT AVE FROM W JARVIS AVE TO W BIRCHWOOD AVE,54490
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N NOTTINGHAM AVE FROM W STRONG ST TO W GUNNISON ST,51720
41,2019,Street Resurfacing Menu,Street Resurfacing,ON W NORWOOD ST FROM N OLYMPIA AVE TO N OVERHILL AVE,50060
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N MASON AVE FROM N MENDOTA AVE TO W FITCH AVE,49020
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N OLCOTT AVE FROM W CATALPA AVE TO W GREGORY ST,48800
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N OLCOTT AVE FROM N OSCEOLA AVE TO W SEMINOLE ST,47050
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N OKETO AVE FROM W NORTH SHORE AVE TO W PRATT AVE,46480
41,2019,Facility Improvements Engine House 79,Misc.,6424 N LEHIGH AVE,43500
41,2019,Street Resurfacing Menu,Street Resurfacing,ON W HOOD AVE FROM 7248 W TO N HARLEM AVE,39730
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N OSCEOLA AVE FROM W ESTES AVE TO W LUNT AVE,36870
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N JEAN AVE FROM N IONIA AVE TO N LEHIGH AVE,32160
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N NEOLA AVE FROM N NASSAU AVE TO N NEWBURG AVE,28700
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N MASON AVE FROM W FITCH AVE TO W TOUHY AVE,22180
41,2019,Sidewalk Menu,Sidewalk Repair,6525 N HIAWATHA AVE,14570
41,2019,Alley Resurfacing Menu,Alleys,N OKETO AVE & W CHASE AVE&N OSCEOLA AVE & W TOUHY AVE,5550
41,2019,Street Resurfacing Menu,Street Resurfacing,ON N OLCOTT AVE FROM W JARVIS AVE TO W CHASE AVE,3180
